time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
0.0450939,17.3529,0,0,0.1
0.0622623,17.1684,0.1845,0,0.1
0.0803901,18.1278,0.9594,0,0.1
0.0978802,17.4901,0.6377,0,0.1
0.1155227,17.6425,0.1524,0,0.1
0.1325679,17.0452,0.5973,0,0.1
0.1505904,18.0225,0.9773,0,0.1
0.1683971,17.8067,0.2158,0,0.1
0.2140196,45.6225,27.8158,0,0.1
0.2292504,15.2308,30.3917,0,0.1
0.2473526,18.1022,2.8714,0,0.1
0.2655981,18.2455,0.1433,0,0.1
0.2822401,16.642,1.6035,0,0.1
0.3005907,18.3506,1.7086,0,0.1
0.318584,17.9933,0.3573,0,0.1
0.4090056,90.4216,72.4283,0,0.1
0.425098,16.0924,74.3292,0,0.1
0.4428575,17.7595,1.6671,0,0.1
0.4596964,16.8389,0.9206,0,0.1
0.4776566,17.9602,1.1213,0,0.1
0.4960475,18.3909,0.4307,0,0.1
0.5133105,17.263,1.1279,0,0.1
0.5314073,18.0968,0.8338,0,0.1
0.5495058,18.0985,0.0017,0,0.1
0.5668103,17.3045,0.794,0,0.1
0.5848902,18.0799,0.7754,0,0.1
0.6026895,17.7993,0.2806,0,0.1
0.6202786,17.5891,0.2102,0,0.1
0.6393198,19.0412,1.4521,0,0.1
0.6570385,17.7187,1.3225,0,0.1
0.6745036,17.4651,0.2536,0,0.1
0.692665,18.1614,0.6963,0,0.1
0.7110005,18.3355,0.1741,0,0.1
0.7290992,18.0987,0.2368,0,0.1
0.746536,17.4368,0.6619,0,0.1
0.7649217,18.3857,0.9489,0,0.1
0.7827287,17.807,0.5787,0,0.1
0.8003952,17.6665,0.1405,0,0.1
0.8192671,18.8719,1.2054,0,0.1
0.836991,17.7239,1.148,0,0.1
0.8550707,18.0797,0.3558,0,0.1
0.8731875,18.1168,0.0371,0,0.1
0.8909373,17.7498,0.367,0,0.1
0.9095829,18.6456,0.8958,0,0.1
0.9276597,18.0768,0.5688,0,0.1
0.9463181,18.6584,0.5816,0,0.1
0.9649965,18.6784,0.02,0,0.1
0.9833744,18.3779,0.3005,0,0.1
1.0018986,18.5242,0.1463,0,0.1
1.0201114,18.2128,0.3114,0,0.1
1.0383959,18.2845,0.0717,0,0.1
1.0563688,17.9729,0.3116,0,0.1
1.075211,18.8422,0.8693,0,0.1
1.093976,18.765,0.0772,0,0.1
1.1122395,18.2635,0.5015,0,0.1
1.1298789,17.6394,0.6241,0,0.1
1.1484263,18.5474,0.908,0,0.1
1.167194,18.7677,0.2203,0,0.1
1.1855334,18.3394,0.4283,0,0.1
1.2039588,18.4254,0.086,0,0.1
1.2226852,18.7264,0.301,0,0.1
1.2411526,18.4674,0.259,0,0.1
1.2589356,17.783,0.6844,0,0.1
1.2781585,19.2229,1.4399,0,0.1
