timestamp,hw.md.RenderBasic.SYSMEM_TRANSACTION_READ,hw.md.RenderBasic.SYSMEM_TRANSACTION_WRITE,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_READ,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_WRITE,hw.raw.RenderBasic.GPU_MEMORY_BYTE_READ,hw.raw.RenderBasic.GPU_TIME,hw.gpu.symbols.GpuTimestampFrequency,hw.raw.RenderBasic.GPU_MEMORY_BYTE_WRITE,hw.gal.d_gpu_busy,hw.gal.d_gti_busy,hw.gal.d_crystal_clock,hw.gal.d_gpu_sq_fifo_full,hw.gal.d_gpu_sq_fifo_stalled,hw.gal.d_gpu_ticks,hw.gal.d_unslice_freq_req,hw.gal.d_slice_freq_req,hw.gal.d_unslice_freq,hw.gal.d_slice_freq,hw.gal.ia_freq,hw.gal.ring_freq,hw.gal.qclk_ratio,hw.gal.qclk_base,hw.gal.gt_perf_limit,hw.gal.gtlimit_prochot,hw.gal.gtlimit_thermal,hw.gal.gtlimit_ratl,hw.gal.gtlimit_vr_thermalert,hw.gal.gtlimit_vr_tdc,hw.gal.gtlimit_other,hw.gal.gtlimit_max_vid,hw.gal.gtlimit_pbm_pl1,hw.gal.gtlimit_pbm_pl2,hw.gal.gtlimit_ineff_op,hw.gal.gtlimit_psys_crit,hw.gal.d_pkg_joules,hw.gal.d_pkg_temp,hw.gal.rc6_res,hw.gal.pg_req,hw.gal.pg_status,hw.gal.ia_pstate_limit,hw.md.RenderBasic.GPU_MEMORY_BYTE_READ_RATE,"hw.md.RenderBasic.GPU_MEMORY_BYTE_WRITE_RATE
"
109197,0,0,0,0,0,0,19200000,0,839743134,113063936,2147483668,605338457,85825450,4160274125,4250,4250,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645274663,67,55073,40,2,255,0,0
218989,22752.11309,51980.10784,8042.480326,2820970.563,150392105.1,19230790.95,19200000,283992331,839755336,113073319,2147483668,605538958,85825450,4240711140,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645288336,65,55073,40,2,255,0.300303,0.567075
328776,2295.35373,11622.5054,801.552096,2504731.89,98572590.56,19230919.87,19200000,193926730.9,839762585,113077695,2147483668,605691565,85825450,4284619146,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645289872,65,55073,40,2,255,0.196828,0.38723
438108,1381.114404,8451.322577,493.908462,2438947.426,38300726.23,19230847.33,19200000,114596348.7,839765300,113080301,2147483668,605777055,85825450,33562439,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645291856,65,55073,40,2,255,0.076479,0.228825
547501,1179.234503,7724.443063,438.784931,2394504.219,1638569.195,19230919.71,19200000,79428519.19,839768137,113082719,2147483668,605848720,85825450,77141007,400,400,0,0,50,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645293712,65,55073,40,2,255,0.003272,0.158602
656822,1399.54812,8653.415172,521.40028,2434015.422,1777846.891,19230879.7,19200000,81210965.87,839770910,113085371,2147483668,605922139,85825450,120867357,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645296272,65,55073,40,2,255,0.00355,0.162161
766655,1183.615125,7711.707775,437.027123,2416532.372,1575182.322,19230923.31,19200000,80135123.32,839775151,113088938,2147483668,606015034,85825450,164797376,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645298832,64,55073,40,2,255,0.003145,0.160013
876197,2254.842891,11502.43742,675.539976,2430766.281,37613910.65,19230852.09,19200000,114733170.8,839779476,113092609,2147483668,606104595,85825450,208613897,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645301072,64,55073,40,2,255,0.075107,0.229098
985585,1444.399751,8099.608732,502.797382,1713890.006,10289199.91,19230921.12,19200000,66348109.48,839779476,113092609,2147483668,606113168,85825450,252359903,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645301456,65,55073,40,2,255,0.020545,0.132483
1095717,0,2633.203792,0,0,0,19230877.49,19200000,0,839782378,113095020,2147483668,606154112,85825450,296411135,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645302160,64,55073,40,2,255,0,0
