sw.intercept.QueryHW.data.Triggers.FrameNumber,FrameRate,Mean(HWContext),Mean(GPUBusyTicksDelta),Mean(SliceFreq),Mean(UnsliceFreq),Mean(hw.gpu.eu_count),Mean(hw.gpu.eu_threads),Mean(hw.gpu.info.timestamp_freq),Mean(hw.gpu.symbols.GpuTimestampFrequency),Mean(hw.gpu.symbols.XeCoreTotalCount),Mean(GPUTimeDelta),Mean(GPUTicksDelta),Mean(hw.raw.BMG_AMX_20_WW30.cycle_count),Mean(hw.raw.BMG_AMX_20_WW30.GPU_TIME),Mean(hw.md.BMG_AMX_20_WW30.CLIPPER_PRIMITIVE_OUTPUT),Mean(hw.raw.BMG_AMX_20_WW30.GPU_MEMORY_BYTE_READ),Mean(hw.raw.BMG_AMX_20_WW30.GPU_MEMORY_BYTE_WRITE),Mean(hw.md.BMG_AMX_20_WW30.L3_WRITE),Mean(hw.md.BMG_AMX_20_WW30.RASTERIZER_TRANSACTION_OUTPUT),Mean(hw.md.BMG_AMX_20_WW30.RENDER_CACHE_WRITE),Mean(hw.md.BMG_AMX_20_WW30.RT_INSTANCE_NODE_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_INTERNAL_NODE_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_QUAD_TEST_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_TRAVERSAL_STEP_RAY_COUNT),Mean(hw.raw.BMG_AMX_20_WW30.SAMPLER_ACTIVE_CYCLES),Mean(hw.md.BMG_AMX_20_WW30.std.dispatch.tdg_tdc.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ds.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ds.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.geom.gs_ms_sol.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.hs_task_te.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.sol_cl.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.te_ted.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ted_te.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf_vs.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vfg_vf.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vs.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vs.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.l3.bank_node.data.evict.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.l3.bank_node.data.rd_return.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.lsc.rd),Mean(hw.md.BMG_AMX_20_WW30.std.lsc.wr),Mean(hw.md.BMG_AMX_20_WW30.std.raster.cl.trivial_accept.primitive),Mean(hw.md.BMG_AMX_20_WW30.std.raster.cl.trivial_reject.primitive),Mean(hw.md.BMG_AMX_20_WW30.std.z.rcz.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.z.rcz.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.URB_READ),Mean(hw.md.BMG_AMX_20_WW30.URB_WRITE),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_ALU2_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_CONTROL_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP32),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP64),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT32),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT64),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_MATH),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_SEND_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_BF16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_FP16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT2),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT4),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT8),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_ALL_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_ASYNC_CS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_CS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_PS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_VS_CYCLES),Mean(ReportReason),Mean(Context),Min(GPUTimestamp),Max(GPUTimestamp)
0,33.783098991,2298.377488,0,0,2800,160,8,19200000,19200000,20,203.26630062,29624.310226,29624.310226,203.26630062,87.435827042,304904.78518,156681.8394,20438.9849,355.79615649,8012.7275223,1855.0734386,7270.0082361,47.495538778,9172.5772135,147423.4324,43.547700755,0,0,207.99519561,207.29238161,207.99519561,0,0,255.67879204,30.245024022,294.32052162,1.5895676047,209.57515443,196.5188744,12929.559369,50038.137268,177835.68428,150207.0803,87.465339739,48.0459849,49.895676047,177.49416609,547.42759094,542.57172272,0,134550.88538,4767.2704187,1696434.5498,0,42323.939602,693300.83734,46391.886067,401741.86136,337592.96568,0,0,0,0,0,3778818.1826,226923.87646,2393525.9224,1047944.7666,6535.6911462,17.690459849,577593617.16,41055511961,41055807967
1,19.594396003,21354.403292,0,0,2800,160,8,19200000,19200000,20,175.01748971,25507.237997,25507.237997,175.01748971,140.43518519,196378.33745,100367.4513,14762.731481,422.61248285,5369.9982853,31.687928669,1789.3305898,23.595336077,1844.6138546,98603.146776,108.88340192,0,0,404.0723594,403.72119342,404.0723594,0,0,595.72462277,42.059327846,451.67524005,3.2897805213,266.19718793,521.20473251,9744.6286008,33035.829904,111446.34705,109827.6797,140.45233196,122.09087791,97.022290809,317.94135802,1473.803155,1914.0740741,0,80669.580247,3894.0137174,1007908.5521,0,29183.066187,465650.92901,26337.06893,216898.69273,217800.32476,0,0,0,0,0,2592269.596,114644.95233,1783075.4297,625584.52058,20832.099108,30.12345679,1008018381.1,41055807968,41056318318
2,16.555798006,21169.647553,0,0,2800,160,8,19200000,19200000,20,181.33293305,26430.902732,26430.902732,181.33293305,124.42779946,194096.72531,109943.66136,13035.736716,373.06094266,4828.2882017,355.14019814,2584.2476734,19.782948064,2959.1708196,87064.337736,96.207145002,0,0,358.26088262,357.95346743,358.26088262,0,0,524.52776944,35.779345542,400.15400781,3.3791654158,233.20354248,461.50915641,8639.0447313,29454.5719,97979.940859,96295.989793,124.43710597,107.19453618,83.87691384,271.43350345,1305.4830381,1697.4217953,0,70743.382168,3375.6298409,891071.76373,0,25339.301711,408286.31072,23585.272291,191808.35545,191864.39117,0,0,0,0,0,2624827.6476,101348.24647,1883479.19,575837.87151,18506.952267,27.062443711,902067523.21,41056318320,41056922338
3,17.142808163,21350.912962,0,0,2800,160,8,19200000,19200000,20,182.6352536,26619.402004,26619.402004,182.6352536,126.54727614,179277.58547,91026.675016,13389.685661,388.92141515,5064.6787727,28.323731997,1633.8785222,19.526299311,1681.7285535,90008.605197,98.225735755,0,0,361.72980589,361.40920476,361.72980589,0,0,532.58672511,34.803694427,405.07420163,3.0475892298,232.71164684,471.40231684,8862.4931121,30218.721039,100891.95147,99985.067314,126.5701315,108.21102066,87.664370695,283.49592987,1338.0597996,1731.7150908,0,73481.422041,3526.4546024,919284.21947,0,26526.108641,423375.31559,23976.623356,198023.35629,198547.21916,0,0,0,0,0,2797863.9862,106489.45085,2045858.2301,583299.26612,18312.552599,26.661552912,888207563.4,41056922340,41057505675
4,19.949089923,21476.364664,0,0,2800,160,8,19200000,19200000,20,177.13003534,25815.677739,25815.677739,177.13003534,142.11378092,226972.76608,128164.09329,15382.812014,433.74558304,5428.4367491,508.63074205,3097.5943463,21.475971731,3627.7010601,101190.88269,110.61696113,0,0,406.78975265,406.42791519,406.78975265,0,0,599.77985866,39.130035336,455.47349823,3.2431095406,262.17067138,531.01837456,10109.308127,34295.74417,115031.65265,113071.43216,142.12332155,122.34310954,98.858303887,319.51731449,1505.7632509,1945.634629,0,83147.078445,4002.6349823,1035644.1795,0,29976.571025,478456.31201,26992.685866,223439.19011,223758.64346,0,0,0,0,0,2719026.7739,121865.03852,1857695.3647,666641.58127,20866.926502,29.472438163,985500930.16,41057505677,41058006953
5,11.719523672,21322.892364,0,0,2800,160,8,19200000,19200000,20,196.24609016,28607.692502,28607.692502,196.24609016,92.788408464,132723.75345,67584.176633,9816.1557038,284.68215271,3599.2566697,19.931232751,1215.975161,13.743330267,1249.649724,66636.394434,72.199862006,0,0,265.61867525,265.38316467,265.61867525,0,0,390.33118675,25.603265869,297.19871205,2.2136614535,171.74862006,345.40685373,6551.2214811,22086.312787,74794.397424,73883.779899,92.796458142,79.636154554,63.528058878,208.47907084,980.29530819,1289.4894204,0,54057.557958,2585.6577737,681629.523,0,19516.935373,312618.97286,17698.904554,146384.20331,146546.04186,0,0,0,0,0,3177955.8475,77343.867525,2625760.3742,428541.06072,13816.662603,20.372355106,670516927.29,41058006954,41058860231
6,20.067426553,21426.220963,0,0,2800,160,8,19200000,19200000,20,176.45963173,25717.985836,25717.985836,176.45963173,142.49362606,229594.92351,129624.92918,15398.300992,437.34950425,5507.1179178,537.16111898,3103.4783994,21.402266289,3662.0417847,102025.57365,110.61437677,0,0,406.88208215,406.51947592,406.88208215,0,0,599.27407932,39.271954674,455.46494334,3.2599150142,262.80417847,530.40439093,10171.47238,34412.791785,115835.2245,113486.84773,142.50637394,121.96990085,97.758852691,321.38774788,1506.0938385,1942.0825071,0,83443.004958,4005.0435552,1049676.5729,0,30210.716714,480896.09242,27269.025496,225939.26346,225182.02054,0,0,0,0,0,2731012.9862,119076.26239,1857101.6094,678975.18095,21884.521601,29.599858357,989910920.29,41058860233,41059358553
7,19.569433328,21875.662651,0,0,2800,160,8,19200000,19200000,20,175.90464716,25637.502926,25637.502926,175.90464716,139.22891566,197147.58279,100726.17418,14728.099484,428.61342513,5372.2643718,32.034767642,1904.7201377,22.927710843,1959.6826162,99042.308778,108.47194492,0,0,399.30017212,398.94767642,399.30017212,0,0,587.27986231,38.449913941,446.6929432,3.6354561102,255.55490534,519.63855422,9783.497074,33263.097074,111373.52358,109975.88193,139.24991394,119.22788296,96.068846816,313.2746988,1475.913253,1900.6891566,0,81204.018933,3931.594148,1015924.7566,0,29376.352496,467367.1463,26394.798967,218944.23683,218673.17694,0,0,0,0,0,2606774.0441,127190.09466,1785602.4437,625276.09053,20419.50809,29.821686747,997579525.71,41059358555,41059869556
8,16.739175194,21348.534733,0,0,2800,160,8,19200000,19200000,20,184.44025934,26884.249768,26884.249768,184.44025934,125.25409077,200613.81908,113324.69528,13463.291139,387.77925286,4925.6832356,365.72306267,2680.3170732,23.195121951,3069.2352578,89383.502624,97.854276011,0,0,358.51991355,358.20376659,358.51991355,0,0,527.95770299,34.893485644,400.83853041,3.1426366162,230.32263044,466.884841,8897.0660698,30104.443038,101170.0281,99277.866626,125.2642791,107.2012967,85.87928373,279.82340228,1327.12226,1711.781414,0,72786.095709,3488.8734177,918343.25378,0,26340.898425,420216.43532,23745.786971,197461.12257,196779.20222,0,0,0,0,0,2908617.9719,105269.98518,2130368.4477,608428.18185,18323.58691,26.03272615,866437305.74,41059869557,41060466958
9,16.991862597,21530.87205,0,0,2800,160,8,19200000,19200000,20,182.76987578,26638.937267,26638.937267,182.76987578,127.99751553,179400.82484,91266.146584,13405.557453,391.27360248,4824.5767081,394.11832298,2740.1083851,22.09689441,3156.3236025,90518.747826,100.92391304,0,0,366.42608696,366.10807453,366.42608696,0,0,543.77888199,34.867391304,409.07267081,3.0074534161,231.2257764,482.85310559,8846.8878882,30114.71646,102692.72609,100466.18354,128.01335404,110.08198758,87.192546584,281.67732919,1371.5186335,1772.4180124,0,73946.177329,3530.4677019,927243.90994,0,26668.33323,428513.8677,24125.709627,199493.42981,198978.55528,0,0,0,0,0,2918872.6469,105732.64286,2160160.3214,587184.3382,19064.806832,26.708695652,889833587.64,41060466960,41061055477
